paths,scores,labels
id01591/q7LU-D4bH_c/00167/real_video_fake_audio.npz,4.808675765991211,1.0
id03027/Ad7wfKADDiE/00025/real_video_fake_audio.npz,7.378241539001465,1.0
id01768/jw_8ssoqx7Y/00296/fake_video_fake_audio.npz,5.482275009155273,1.0
id02176/j-kLa58RI2k/00112/real_video_fake_audio.npz,5.069382190704346,1.0
id09010/PsZniY0iOTU/00105/fake_video_fake_audio.npz,4.108458995819092,1.0
id07578/f5VoJrTVpTY/00389/fake_video_fake_audio.npz,3.604372501373291,1.0
id01792/YF8rXspTZ2g/00115/fake_video_fake_audio.npz,6.774999141693115,1.0
id01614/v7f3xnIxpzo/00471/real.npz,-5.760406017303467,0.0
id01769/m3PwKugqK1o/00347/real.npz,-3.3635611534118652,0.0
id02573/HeLScgx-zKo/00141/fake_video_real_audio.npz,6.58562707901001,1.0
id05453/Zw_cmlvzwlI/00192/real.npz,-3.431774616241455,0.0
id08937/jLxGwV7Hl3s/00377/real_video_fake_audio.npz,4.920188903808594,1.0
id01209/3uMTe1AiacA/00027/real.npz,0.16056275367736816,0.0
id01509/5lpFOpqojEc/00051/fake_video_fake_audio.npz,6.369261264801025,1.0
id01098/ck2Nv87sWSk/00261/real.npz,2.3940813541412354,0.0
id02721/pmfAdwiIVaA/00404/fake_video_real_audio.npz,-0.08434326201677322,1.0
id07474/dlurocVVLNo/00060/real.npz,-2.513631820678711,0.0
id03346/S76J8gYVuOI/00052/real_video_fake_audio.npz,5.397461891174316,1.0
id01908/UQhu0U1JvXU/00270/real_video_fake_audio.npz,6.991624355316162,1.0
id08693/QNr0r3Pvdaw/00070/fake_video_fake_audio.npz,7.241474151611328,1.0
id08546/DGGTJx470Ag/00059/fake_video_real_audio.npz,5.617247104644775,1.0
id08840/5roL-rGEOWA/00026/real_video_fake_audio.npz,7.2650146484375,1.0
id01572/CcV7gAWmrqk/00067/fake_video_fake_audio.npz,6.021671772003174,1.0
id01160/QE-dyjUoyWY/00265/fake_video_real_audio.npz,5.262613773345947,1.0
id06019/fHi1FyCBOQ8/00069/fake_video_fake_audio.npz,2.6625208854675293,1.0
id03027/QmFNWMU2hKU/00084/fake_video_real_audio.npz,5.274881839752197,1.0
id01681/2ubIB3pJtmM/00002/fake_video_real_audio.npz,4.912673473358154,1.0
id01497/vFjf8q-8phw/00149/fake_video_real_audio.npz,3.198913097381592,1.0
id01434/c1pUtyS9GzQ/00117/real_video_fake_audio.npz,6.807822227478027,1.0
id02105/vHHKFQvQxUM/00342/real.npz,1.2809722423553467,0.0
id05261/Y64gE4ALg6U/00202/fake_video_fake_audio.npz,7.587000846862793,1.0
id03862/TE2zQc8_W-g/00252/fake_video_real_audio.npz,0.6901627779006958,1.0
id02531/GMIXFTR38r0/00018/real_video_fake_audio.npz,0.5040143728256226,1.0
id05765/G-6BiugV_Jw/00046/fake_video_fake_audio.npz,7.188836097717285,1.0
id01596/VIP_y6zFgGo/00086/fake_video_fake_audio.npz,5.333188533782959,1.0
id03313/MiX7fVkTbzM/00188/real_video_fake_audio.npz,6.746255397796631,1.0
id01425/tBvyuM4L16A/00179/fake_video_fake_audio.npz,6.0810418128967285,1.0
id05124/L7qdPmqEClU/00234/real_video_fake_audio.npz,7.329387187957764,1.0
id06350/bOgqejEU2lo/00067/real.npz,-2.10202693939209,0.0
id01124/2hg7q9O8xLo/00020/real_video_fake_audio.npz,6.369955539703369,1.0
id01042/Oe4DBwRXYSc/00088/real.npz,-4.801298141479492,0.0
id01928/pgGIGQI1beU/00037/fake_video_real_audio.npz,6.752276420593262,1.0
id01501/P88g9GR3NZs/00253/real.npz,-5.917710781097412,0.0
id04624/R8S_c8KfSuo/00065/fake_video_fake_audio.npz,7.670469284057617,1.0
id03757/8YgdXuUc4VE/00034/fake_video_fake_audio.npz,7.774250030517578,1.0
id08993/Aa7KqJ-adfA/00363/real.npz,-2.4239346981048584,0.0
id01223/WoxxE8_CdkQ/00356/real.npz,-2.5142436027526855,0.0
id06220/Xu4jr5Sd8qg/00075/fake_video_real_audio.npz,-3.539620876312256,1.0
id01857/l20ImBtmb4Y/00267/fake_video_real_audio.npz,-1.3908604383468628,1.0
id04198/gT5G5jIJdu4/00367/real.npz,-4.450362682342529,0.0
id02566/xwCJd6sE0TM/00115/real_video_fake_audio.npz,7.396353721618652,1.0
id03247/mdLYFZ0-pw0/00291/fake_video_fake_audio.npz,7.5314130783081055,1.0
id04964/WWq7kLjv2OE/00124/fake_video_real_audio.npz,6.417874813079834,1.0
id04884/aySQAaP_zzs/00022/fake_video_fake_audio.npz,1.0105435848236084,1.0
id07462/Y3SwOR1cfx8/00125/real_video_fake_audio.npz,-4.180360794067383,1.0
id08236/FOmYmnB47fc/00113/real.npz,-3.6179614067077637,0.0
id05403/a73AGEeQiCc/00042/fake_video_fake_audio.npz,5.184013843536377,1.0
